source_en,reference_fr,similarity,topic
"WHO’s guidelines on Management of physical health conditions in adults with severe mental disorders provide evidence-based recommendations to practitioners on how to recognize and manage comorbid physical and mental health conditions, including bipolar disorder.","Les lignes directrices de l’OMS sur la prise en charge des troubles physiques chez les adultes atteints de troubles mentaux graves contiennent, à l’intention des praticiens et praticiennes, des recommandations fondées sur des données probantes concernant la façon de reconnaître et de prendre en charge les problèmes de santé physique et mentale coexistants, y compris le trouble bipolaire.",0.867,Bipolar disorder / Trouble bipolaire
"WHO’s QualityRights initiative aims to improve the quality of care and human rights standards in mental health and social care facilities and to empower organizations to advocate for the health of people with mental health conditions, including bipolar disorder.","L’ initiative QualityRights de l’OMS vise à améliorer la qualité des soins et le respect des droits humains dans les structures s’occupant de santé mentale et d’aide sociale, et à donner aux organisations les moyens d’agir pour défendre la santé des personnes atteintes de maladies mentales, y compris d’un trouble bipolaire.",0.873,Bipolar disorder / Trouble bipolaire
"The Guidance on community mental health services and person-centred and rights-based approaches describes what person-centred and human rights-based approaches look like in mental health, and give examples of good practice services. (1) 2021 Global Burden of Disease (GBD) [online database].",Les orientations de l’OMS sur les services de santé mentale communautaires et les approches centrées sur la personne et fondées sur les droits décrivent ce à quoi ressemblent les approches centrées sur la personne et fondées sur les droits humains en santé mentale et donnent des exemples de services qui appliquent de bonnes pratiques. (1) 2021 Global Burden of Disease (GBD) [base de données en ligne].,0.905,Bipolar disorder / Trouble bipolaire
"Seattle: Institute for Health Metrics and Evaluation; 2024 ( https://vizhub.healthdata.org/gbd-results/ , accessed 13 August 2025). (2) Chan JKN, Tong CHY, Wong CSM, Chen EYH, Chang WC.","Seattle: Institute for Health Metrics and Evaluation; 2024 ( https://vizhub.healthdata.org/gbd-results/ , consulté le 13 août 2025). (2) Chan JKN, Tong CHY, Wong CSM, Chen EYH, Chang WC.",0.995,Bipolar disorder / Trouble bipolaire
Life expectancy and years of potential life lost in bipolar disorder: systematic review and meta-analysis.,Life expectancy and years of potential life lost in bipolar disorder: systematic review and meta-analysis.,1.0,Bipolar disorder / Trouble bipolaire
Br J Psychiatry. 2022;221(3):567–76 ( https://doi.org/10.1192/bjp.2022.19 ).,Br J Psychiatry. 2022;221(3):567–76 (https://doi.org/10.1192/bjp.2022.19).,1.0,Bipolar disorder / Trouble bipolaire
"Dementia is a term for several diseases that affect memory, thinking, and the ability to perform daily activities.","Le terme « démence » couvre plusieurs maladies qui affectent la mémoire, la pensée et la capacité à réaliser des tâches quotidiennes.",0.87,Dementia / Demence
The illness gets worse over time.,La démence s’aggrave avec le temps.,0.818,Dementia / Demence
It mainly affects older people but not all people will get it as they age.,"Elle touche principalement les personnes âgées, mais toutes les personnes âgées ne sont pas concernées.",0.87,Dementia / Demence
"Things that increase the risk of developing dementia include: Dementia is a syndrome that can be caused by a number of diseases which over time destroy nerve cells and damage the brain, typically leading to deterioration in cognitive function (i.e. the ability to process thought) beyond what might be expected from the usual consequences of biological ageing.","Les facteurs qui augmentent le risque de démence sont notamment les suivants : Le syndrome de la démence peut être causé par un certain nombre de maladies qui, au fil du temps, détruisent les cellules nerveuses et endommagent le cerveau, entraînant généralement une détérioration de la fonction cognitive (c’est-à-dire la capacité à traiter la pensée) au-delà des conséquences habituelles attendues du vieillissement biologique.",0.924,Dementia / Demence
"While consciousness is not affected, the impairment in cognitive function is commonly accompanied, and occasionally preceded, by changes in mood, emotional control, behaviour, or motivation.","Bien que la conscience ne soit pas affectée, la déficience de la fonction cognitive est généralement accompagnée, et parfois précédée, de changements d’humeur, de régulation émotionnelle, de comportement ou de motivation.",0.902,Dementia / Demence
"Dementia has physical, psychological, social and economic impacts, not only for people living with dementia, but also for their carers, families and society at large.","La démence a des conséquences physiques, psychologiques, sociales et économiques, non seulement sur les personnes atteintes de démence, mais aussi sur les aidants, les familles et la société dans son ensemble.",0.921,Dementia / Demence
"There is often a lack of awareness and understanding of dementia, resulting in stigmatization and barriers to diagnosis and care.",Le fait que la démence est méconnue et mal comprise entraîne souvent une stigmatisation et entrave le diagnostic et les soins.,0.845,Dementia / Demence
Changes in mood and behaviour sometimes happen even before memory problems occur.,Les changements d’humeur et de comportement apparaissent parfois avant les problèmes de mémoire.,0.893,Dementia / Demence
Symptoms get worse over time.,Les symptômes s’aggravent avec le temps.,0.928,Dementia / Demence
"Common changes in mood and behaviour include: Dementia affects each person in a different way, depending upon the underlying causes, other health conditions and the person’s cognitive functioning before becoming ill.","Les premiers signes et symptômes de la démence sont les suivants : Les changements d’humeur ou de comportement les plus fréquents sont les suivants : La démence affecte chaque personne d’une manière différente, en fonction des causes sous-jacentes, des autres problèmes de santé et de la fonction cognitive qu’avait la personne avant de tomber malade.",0.841,Dementia / Demence
"Most symptoms become worse over time, while others might disappear or only occur in the later stages of dementia.","La plupart des symptômes s’aggravent avec le temps, tandis que d’autres peuvent disparaître ou ne se produire qu’aux derniers stades de la démence.",0.903,Dementia / Demence
"As the disease progresses, the need for help with personal care increases.","À mesure que la maladie progresse, le besoin d’aide pour l’hygiène personnelle augmente.",0.893,Dementia / Demence
"People with dementia may not be able to recognize family members or friends, develop difficulties moving around, lose control over their bladder and bowels, have trouble eating and drinking and experience behaviour changes such as aggression that are distressing to the person with dementia as well as those around them.","Les personnes atteintes de démence ne sont pas toujours en mesure de reconnaître les membres de leur famille ou leurs amis, ont du mal à se déplacer, présentent une incontinence urinaire ou fécale, ont du mal à manger et à boire et subissent des changements de comportement, tels que l’agressivité, qui sont pénibles à vivre à la fois pour le malade et son entourage.",0.893,Dementia / Demence
Dementia is caused by many different diseases or injuries that directly and indirectly damage the brain.,La démence est causée par diverses maladies ou lésions qui endommagent directement et indirectement le cerveau.,0.871,Dementia / Demence
Alzheimer disease is the most common form and may contribute to 60–70% of cases.,La maladie d’Alzheimer est la forme la plus fréquente et serait à l’origine de 60 à 70 % des cas.,0.914,Dementia / Demence
"Other forms include vascular dementia, dementia with Lewy bodies (abnormal deposits of protein inside nerve cells), and a group of diseases that contribute to frontotemporal dementia (degeneration of the frontal lobe of the brain).","Les autres formes répandues sont notamment la démence vasculaire, la démence à corps de Lewy (dépôts anormaux de protéines à l’intérieur des cellules nerveuses) et plusieurs autres maladies qui aboutissent à une démence fronto-temporale (dégénérescence du lobe frontal du cerveau).",0.894,Dementia / Demence
"Dementia may also develop after a stroke or in the context of certain infections such as HIV, as a result of harmful use of alcohol, repetitive physical injuries to the brain (known as chronic traumatic encephalopathy) or nutritional deficiencies.","La démence peut également se développer après un accident vasculaire cérébral ou dans le contexte de certaines infections telles que le VIH, à la suite d’un usage nocif de l’alcool, de lésions corporelles répétitives au cerveau (appelées encéphalopathie traumatique chronique) ou de carences nutritionnelles.",0.892,Dementia / Demence
The boundaries between different forms of dementia are indistinct and mixed forms often co-exist.,Les frontières entre les différentes formes de démence ne sont pas nettes et les formes mixtes sont fréquentes.,0.885,Dementia / Demence
"There is no cure for dementia, but a lot can be done to support both people living with the illness and those who care for them.","Il n’y a pas de remède contre la démence, mais on peut agir pour aider à la fois les personnes qui vivent avec la maladie et celles qui les soignent.",0.827,Dementia / Demence
"People with dementia can take steps to maintain their quality of life and promote their well-being by: In addition, some medications can help manage dementia symptoms: If people living with dementia are at risk of hurting themselves or others, medicines like haloperidol and risperidone can help, but these should never be used as the first treatment For those diagnosed with dementia, there are things that can help manage symptoms: Plan ahead of time.","Les malades peuvent maintenir leur qualité de vie et améliorer leur bien-être en : Certains médicaments peuvent aider à gérer les symptômes : Si le malade risque de se blesser ou de blesser autrui, des médicaments comme l’halopéridol et la rispéridone peuvent aider, mais il ne faut jamais les utiliser en premier recours.",0.834,Dementia / Demence
"Over time, it may be harder to make important decisions for yourself or your finances: It is important to recognize that providing care and support for a person living with dementia can be challenging, impacting the carer’s own health and well-being.","Au fil du temps, vous aurez peut-être plus de mal à prendre des décisions importantes pour vous-même ou vos finances : Il est important de reconnaître qu’il peut être difficile d’apporter des soins et un soutien à une personne atteinte de démence, et que cela a des incidences sur la santé et le bien-être de l’aidant.",0.916,Dementia / Demence
"As someone supporting a person living with dementia, reach out to family members, friends, and professionals for help.","Si vous apportez du soutien à une personne atteinte de démence, demandez de l’aide aux membres de votre famille, à vos amis et à des professionnels.",0.833,Dementia / Demence
Take regular breaks and look after yourself.,Faites des pauses régulièrement et prenez soin de vous.,0.896,Dementia / Demence
Try stress management techniques such as mindfulness-based exercises and seek professional help and guidance if needed.,"Suivez des techniques de gestion du stress, comme des exercices de pleine conscience, et demandez de l’aide et des conseils professionnels en cas de besoin.",0.893,Dementia / Demence
"Although age is the strongest known risk factor for dementia, it is not an inevitable consequence of biological ageing.","Bien que l’âge soit le plus grand facteur de risque connu de démence, la démence n’est pas une conséquence inéluctable du vieillissement biologique.",0.898,Dementia / Demence
"Further, dementia does not exclusively affect older people – young onset dementia (defined as the onset of symptoms before the age of 65 years) accounts for up to 9% of cases.","Du reste, elle ne touche pas exclusivement les personnes âgées : la démence d’apparition précoce (définie comme l’apparition des symptômes avant l’âge de 65 ans) représente jusqu’à 9 % des cas.",0.923,Dementia / Demence
"Studies show that people can reduce their risk of cognitive decline and dementia by being physically active , not smoking, avoiding harmful use of alcohol , controlling their weight, eating a healthy diet, and maintaining healthy blood pressure, cholesterol and blood sugar levels.","Des études montrent qu’on peut réduire le risque de déclin cognitif et de démence en ayant une activité physique , en ne fumant pas, en évitant l’ usage nocif de l’alcool , en contrôlant son poids, en consommant des aliments sains et en maintenant une tension artérielle, une glycémie et un taux de cholestérol adéquats.",0.893,Dementia / Demence
"Additional risk factors include depression, social isolation, low educational attainment, cognitive inactivity and air pollution .","Les autres facteurs de risque comprennent la dépression, l’isolement social, le faible niveau de scolarité, l’inactivité cognitive et la pollution de l’air .",0.923,Dementia / Demence
"Unfortunately, people living with dementia are frequently denied the basic rights and freedoms available to others.","Malheureusement, les personnes atteintes de démence sont souvent privées des droits et libertés élémentaires dont jouissent les autres.",0.858,Dementia / Demence
"In many countries, physical and chemical restraints are used extensively in care homes for older people and in acute-care settings, even when regulations are in place to uphold the rights of people to freedom and choice.","Dans de nombreux pays, les moyens de contention physiques et chimiques sont largement utilisés dans les structures d’accueil pour personnes âgées et dans les établissements de soins aigus, même lorsque des réglementations sont en place pour défendre les droits des personnes à la liberté et au choix.",0.881,Dementia / Demence
An appropriate and supportive legislative environment based on internationally-accepted human rights standards is required to ensure the highest quality of care for people with dementia and their carers.,"Une législation appropriée et favorable, fondée sur des normes internationalement reconnues en matière de droits humains, est nécessaire pour garantir la plus haute qualité de soins aux personnes atteintes de démence et à leurs aidants.",0.882,Dementia / Demence
WHO recognizes dementia as a public health priority.,L’OMS reconnaît la démence comme une priorité de santé publique.,0.884,Dementia / Demence
"In May 2017, the World Health Assembly endorsed the Global action plan on the public health response to dementia 2017-2025 .","En mai 2017, l’Assemblée mondiale de la Santé a approuvé le Plan mondial d’action de santé publique contre la démence 2017-2025 (en anglais).",0.925,Dementia / Demence
"The Plan provides a comprehensive blueprint for action – for policy-makers, international, regional and national partners, and WHO in the following areas: addressing dementia as a public health priority; increasing awareness of dementia and creating a dementia-inclusive society; reducing the risk of dementia; diagnosis, treatment and care; information systems for dementia; support for dementia carers; and, research and innovation To facilitate the monitoring of the global dementia action plan, WHO developed the Global Dementia Observatory (GDO), a data portal that collates country data on 35 key dementia indicators across the global action plan’s seven strategic areas.","Ce document est un plan d’action détaillé – pour les décideurs, les partenaires internationaux, régionaux et nationaux, et l’OMS – dans les domaines suivants : faire de la démence une priorité de santé publique ; accroître la sensibilisation à la démence et créer une société qui inclue les personnes atteintes de démence ; réduire les risques associés à la démence ; assurer diagnostic, traitement et soins ; établir des systèmes d’information sur la démence ; apporter un soutien aux aidants ; et favoriser la recherche et l’innovation.",0.78,Dementia / Demence
"As a complement to the GDO, WHO launched the GDO Knowledge Exchange Platform , which is a repository of good practices examples in the area of dementia with the goal of fostering mutual learning and multi-directional exchange between regions, countries and individuals to facilitate action globally.","En complément, l’OMS a lancé la Plateforme d’échange de connaissances , qui est un répertoire de bonnes pratiques dans le domaine de la démence et qui vise à favoriser l’apprentissage mutuel et les échanges multidirectionnels entre les régions, les pays et les individus pour faciliter l’action à l’échelle mondiale.",0.813,Dementia / Demence
These feelings are typically accompanied by physical tension and other behavioural and cognitive symptoms.,Ces sentiments s’accompagnent fréquemment d’une tension physique et d’autres symptômes comportementaux et cognitifs.,0.918,Anxiety disorders / Troubles anxieux
"They are difficult to control, cause significant distress and can last a long time if untreated.","Ils sont difficiles à maîtriser, entraînent une détresse importante et peuvent durer longtemps en l’absence de traitement.",0.912,Anxiety disorders / Troubles anxieux
"Anxiety disorders interfere with daily activities and can impair a person’s family, social and school or working life.","Les troubles anxieux perturbent les activités courantes et peuvent entraver la vie quotidienne sur le plan familial, social, scolaire ou professionnel.",0.867,Anxiety disorders / Troubles anxieux
An estimated 4.4% of the global population currently experience an anxiety disorder (1) .,"D’après les estimations, les troubles anxieux touchent actuellement 4,4 % de la population mondiale (1) .",0.859,Anxiety disorders / Troubles anxieux
"In 2021, 359 million people in the world had an anxiety disorder, making anxiety disorders the most common of all mental disorders (1) .","En 2021, 359 millions de personnes dans le monde en étaient atteintes, ce qui en fait la catégorie de troubles mentaux la plus répandue (1) .",0.907,Anxiety disorders / Troubles anxieux
"Although highly effective treatments for anxiety disorders exist, only about 1 in 4 people in need (27.6%) receive any treatment (2) .","Alors qu’il existe des traitements très efficaces contre ces troubles, seule une personne sur quatre qui en auraient besoin (27,6 %) en bénéficie actuellement (2).",0.884,Anxiety disorders / Troubles anxieux
"Barriers to care include lack of awareness that this is a treatable health condition, lack of investment in mental health services, lack of trained health-care providers, and social stigma.","Plusieurs facteurs font obstacle aux soins, notamment le manque d’informations sur le caractère traitable de ces troubles, l’insuffisance des investissements dans les services de santé mentale, la pénurie de soignantes et de soignants qualifiés et la stigmatisation sociale.",0.787,Anxiety disorders / Troubles anxieux
"People with an anxiety disorder may experience excessive fear or worry about a specific situation (for example, a panic attack or social situation) or, in the case of generalized anxiety disorder, about a broad range of everyday situations.","Les personnes présentant un trouble anxieux peuvent ressentir de la peur ou des inquiétudes excessives par rapport à une situation donnée (par exemple, une attaque de panique ou une situation sociale) ou, dans le cas du trouble anxieux généralisé, par rapport à un large éventail de situations du quotidien.",0.928,Anxiety disorders / Troubles anxieux
They typically experience these symptoms over an extended period – at least several months.,"Généralement, elles présentent ces symptômes pendant une longue période (plusieurs mois au moins) et cherchent à éviter les situations qui suscitent leur anxiété.",0.739,Anxiety disorders / Troubles anxieux
Other symptoms of anxiety disorders may include: Anxiety disorders increase the risk for depression and substance use disorders as well as the risk of suicidal thoughts and behaviours.,"Les troubles anxieux peuvent également entraîner d’autres symptômes, tels que : Les troubles anxieux majorent le risque de dépression et de troubles liés à l’usage de substances psychoactives, ainsi que le risque de pensées et de comportements suicidaires.",0.891,Anxiety disorders / Troubles anxieux
"There are several different kinds of anxiety disorders, including: People may experience more than one anxiety disorder at the same time.","Il existe plusieurs types de troubles anxieux, tels que : Une même personne peut connaître simultanément plusieurs troubles anxieux.",0.878,Anxiety disorders / Troubles anxieux
Symptoms often begin during childhood or adolescence and continue into adulthood.,"Souvent, les symptômes débutent pendant l’enfance et l’adolescence et persistent à l’âge adulte.",0.888,Anxiety disorders / Troubles anxieux
Girls and women are more likely to experience an anxiety disorder than boys and men.,Les femmes et les filles sont plus sujettes à ces troubles que les hommes et les garçons.,0.84,Anxiety disorders / Troubles anxieux
"Anxiety disorders, like other mental health conditions, result from a complex interaction of social, psychological and biological factors.","Les troubles anxieux, comme les autres problèmes de santé mentale, découlent d’interactions complexes entre des facteurs sociaux, psychologiques et biologiques.",0.906,Anxiety disorders / Troubles anxieux
"Anyone can have an anxiety disorder, but people who have lived through abuse, severe losses or other adverse experiences are more likely to develop one.","Tout le monde peut présenter un trouble anxieux, mais les personnes qui ont vécu des abus, connu de graves pertes ou traversé d’autres difficultés sont plus exposées à ce risque.",0.877,Anxiety disorders / Troubles anxieux
Anxiety disorders are closely related to and affected by physical health.,"Les troubles anxieux sont étroitement liés à la santé physique, qui a elle-même une influence sur eux.",0.838,Anxiety disorders / Troubles anxieux
"Many of the impacts of anxiety (such as physical tension, nervous system hyperactivity or harmful use of alcohol) are also known risk factors for diseases such as cardiovascular disease.","De nombreuses conséquences de l’anxiété (par exemple, tensions physiques, hyperactivité du système nerveux ou usage nocif de l’alcool) sont également des facteurs de risque d’autres maladies, notamment cardiovasculaires.",0.889,Anxiety disorders / Troubles anxieux
"In turn, people with these diseases may also find themselves experiencing anxiety disorders due to the difficulties associated with managing their conditions.","D’autre part, les personnes qui ont ces maladies présentent souvent des troubles anxieux qui découlent des difficultés rencontrées dans la prise en charge.",0.814,Anxiety disorders / Troubles anxieux
Effective community-based approaches to prevent anxiety include parental education and school-based programmes to enhance social and emotional learning and build positive coping in children and adolescents.,"Des approches communautaires efficaces permettent de prévenir l’anxiété, notamment l’éducation parentale et des programmes scolaires visant à améliorer les compétences socioémotionnelles et à renforcer la capacité des enfants et des adolescents à faire face et à s’adapter de façon positive.",0.845,Anxiety disorders / Troubles anxieux
Exercise programmes can also be effective in preventing anxiety disorders in adults.,Des programmes fondés sur la pratique d’exercice physique peuvent aussi s’avérer efficaces pour prévenir les troubles anxieux chez l’adulte.,0.897,Anxiety disorders / Troubles anxieux
There are several effective treatments for anxiety disorders.,Il existe plusieurs traitements efficaces contre les troubles anxieux.,0.915,Anxiety disorders / Troubles anxieux
People with symptoms of anxiety should seek care.,Les personnes qui ont des symptômes d’anxiété doivent consulter.,0.842,Anxiety disorders / Troubles anxieux
"These interventions can help people learn new ways of thinking, coping or relating to their anxiety, to others or to the world.","Grâce à ces psychothérapies, les personnes apprennent à réfléchir autrement et à s’adapter, mais aussi à appréhender leur anxiété et leur rapport aux autres et au monde.",0.739,Anxiety disorders / Troubles anxieux
"They can teach people how to face the situations, events, people or places that trigger their anxiety.","Elles apprennent à faire face aux situations, aux événements, aux personnes ou aux lieux qui déclenchent leur anxiété.",0.887,Anxiety disorders / Troubles anxieux
"Psychological interventions can be provided to individuals or groups, in person or online.","Des psychothérapies peuvent être organisées pour une personne ou un groupe, en présentiel ou en ligne.",0.894,Anxiety disorders / Troubles anxieux
"They may also be accessed through self-help manuals, websites and apps.","Elles peuvent aussi être menées par la personne elle-même, au moyen de manuels, de sites Web ou d’applications – on parle alors d’auto-prise en charge.",0.759,Anxiety disorders / Troubles anxieux
The psychological interventions with the most evidence for treating a range of anxiety disorders are those based on principles of cognitive-behavioural therapy.,Celles qui se fondent sur les thérapies comportementales et cognitives (TCC) sont les plus solidement étayées pour le traitement d’un large éventail de troubles anxieux.,0.745,Anxiety disorders / Troubles anxieux
"These include exposure therapy, during which people learn to face their fears.","La thérapie par exposition, qui consiste à aider les gens à affronter leurs peurs, appartient à cette catégorie.",0.736,Anxiety disorders / Troubles anxieux
"In addition, learning stress management skills, such as relaxation skills and mindfulness skills, can help reduce symptoms of anxiety disorders.","En outre, l’apprentissage de la gestion du stress, par exemple les techniques de relaxation et de pleine conscience, peut contribuer à réduire les symptômes des troubles anxieux.",0.887,Anxiety disorders / Troubles anxieux
"Antidepressant medications, such as selective serotonin reuptake inhibitors (SSRIs), can also be useful in treating adults with anxiety disorders.","Les antidépresseurs, tels que les inhibiteurs sélectifs de la recapture de la sérotonine (ISRS), peuvent également être utiles dans le traitement des adultes présentant des troubles anxieux.",0.909,Anxiety disorders / Troubles anxieux
"Health-care providers should keep in mind the possible adverse effects associated with antidepressant medication, the ability to deliver either intervention (in terms of expertise, and/or treatment availability), and individual preferences.","Les soignantes et les soignants doivent tenir dûment compte des effets indésirables éventuels de ces médicaments, des moyens disponibles pour l’une ou l’autre de ces catégories d’interventions (compétences et/ou traitements disponibles), et des préférences personnelles.",0.837,Anxiety disorders / Troubles anxieux
"Benzodiazepines, which have historically been prescribed for anxiety disorders, are generally not recommended for anxiety disorders because of their high potential for dependence as well as their limited long-term effectiveness.","Les benzodiazépines, longtemps prescrites dans cette indication, ne sont généralement pas recommandées pour la prise en charge des troubles anxieux car elles comportent un risque élevé de dépendance et ont une efficacité limitée à long terme.",0.846,Anxiety disorders / Troubles anxieux
Self-care can play an important role in supporting treatment.,L’auto-prise en charge joue un rôle important à l’appui du traitement.,0.879,Anxiety disorders / Troubles anxieux
"To help manage your symptoms of anxiety and promote your overall well-being, you can: WHO’s Comprehensive mental health action plan 2013–2030 highlights the steps required to provide appropriate interventions for people with mental health conditions, including anxiety disorders.","Ainsi, pour maîtriser ses symptômes d’anxiété et améliorer son bien-être, il est recommandé : Le Plan d’action global pour la santé mentale 2013-2030 de l’OMS présente les mesures nécessaires pour mettre en œuvre des interventions adaptées pour les personnes qui ont des troubles de santé mentale, y compris celles qui présentent des troubles anxieux.",0.877,Anxiety disorders / Troubles anxieux
Generalized anxiety disorder and panic disorder are included in the priority conditions covered by WHO’s mhGAP Programme .,Le trouble d’anxiété généralisée et le trouble panique figurent parmi les problèmes de santé mentale prioritaires couverts par le Programme d’action Combler les lacunes en santé mentale ( mhGAP ).,0.794,Anxiety disorders / Troubles anxieux
"This programme aims to help countries increase services for people with mental, neurological and substance use disorders through care provided by health workers who are not specialists in mental health.","Ce programme a pour but d’aider les pays à élargir les services destinés aux personnes atteintes de troubles mentaux, neurologiques ou liés à l’utilisation de substances psychoactives, moyennant des soins dispensés par des soignants qui ne sont pas spécialisés en santé mentale.",0.886,Anxiety disorders / Troubles anxieux
WHO has developed brief psychological intervention manuals that may be delivered by lay therapists to individuals and groups.,L’OMS a élaboré de courts manuels qui présentent des interventions psychologiques qui peuvent être dispensées par des thérapeutes non professionnels aux individus et aux groupes.,0.875,Anxiety disorders / Troubles anxieux
"These interventions have been shown to be effective for multiple mental health problems, including anxiety and depression.","Ces interventions ont démontré leur efficacité pour de nombreux problèmes de santé mentale, dont l’anxiété et la dépression.",0.874,Anxiety disorders / Troubles anxieux
"An example is the Problem Management Plus (PM+) manual , which is based on principles of cognitive behavioural therapy and uses techniques like stress management, problem solving treatment and strengthening social support.","Le manuel Gestion des problèmes Plus (PM+) , par exemple, se fonde sur les principes de la TCC et utilise des techniques telles que la gestion du stress, la thérapie par la résolution des problèmes et le renforcement du soutien social.",0.886,Anxiety disorders / Troubles anxieux
"Additionally, the Self-Help Plus (SH+) group-based stress management course and WHO’s popular Doing What Matters in Times of Stress self-help book describe skills that can be used to reduce anxiety and stress. (1) 2021 Global Burden of Disease (GBD) [online database].","En outre, le cours Self-Help Plus (SH+) de gestion du stress en groupe, et l’ouvrage d’auto-prise en charge Faire ce qui compte en période de stress , très apprécié, présentent des compétences utiles pour réduire l’anxiété et le stress. (1) 2021 Global Burden of Disease (GBD) [base de données en ligne].",0.915,Anxiety disorders / Troubles anxieux
"Seattle: Institute for Health Metrics and Evaluation; 2024 ( https://vizhub.healthdata.org/gbd-results/ , accessed 13 August 2025). (2) Alonso J, Liu Z, Evans-Lacko S, et al.","Seattle: Institute for Health Metrics and Evaluation; 2024 ( https://vizhub.healthdata.org/gbd-results/ , consulté le 13 août 2025). (2) Alonso J, Liu Z, Evans-Lacko S, et al.",0.996,Anxiety disorders / Troubles anxieux
Treatment gap for anxiety disorders is global: results of the World Mental Health Surveys in 21 countries.,Treatment gap for anxiety disorders is global: results of the World Mental Health Surveys in 21 countries.,1.0,Anxiety disorders / Troubles anxieux
Depress Anxiety. 2018;35(3):195–208. doi:10.1002/da.22711.,Depress Anxiety. 2018; 35(3):195–208. doi:10.1002/da.22711.,1.0,Anxiety disorders / Troubles anxieux
